
SECTOR			ANNO	VOLUME COMPLESSIVO	VARIAZIONE ANNUALE	QUOTAZIONE GIORNALIERA MEDIA
	
BASIC INDUSTRIES	2004	3.0767395827E10			22.82			2865.873693978266
BASIC INDUSTRIES	2005	3.7457588379E10			6.33			4367.682236903125
BASIC INDUSTRIES	2006	5.0413342778E10			29.47			7110.070820546957
BASIC INDUSTRIES	2007	6.7640775192E10			18.57			9211.133923027857
BASIC INDUSTRIES	2008	1.04336790359E11		-5.01			7124.094002667505
BASIC INDUSTRIES	2009	1.13161759706E11		3.48			4727.919204718714
BASIC INDUSTRIES	2010	9.6267427694E10			21.79			6126.05228337582
BASIC INDUSTRIES	2011	9.3277620675E10			-58.6			8535.55187455352
BASIC INDUSTRIES	2012	7.9648935208E10			-68.79			8694.818993824214
BASIC INDUSTRIES	2013	8.1167036326E10			10.32			28486.424986144062
BASIC INDUSTRIES	2014	8.2010502666E10			-71.9			24380.207404688266
BASIC INDUSTRIES	2015	9.5592658398E10			-48.1			9538.711359273686
BASIC INDUSTRIES	2016	1.20096921114E11		13.83			7721.855295893219
BASIC INDUSTRIES	2017	1.00051884333E11		15.28			9101.40840866675
BASIC INDUSTRIES	2018	6.1239875499E10			-3.08			9883.137117548868

CAPITAL GOODS		2004	4.2642420682E10			10.13			6235.492238480657
CAPITAL GOODS		2005	4.2828857449E10			-5.57			7148.944215789201
CAPITAL GOODS		2006	5.1749654684E10			7.14			7704.190659975626
CAPITAL GOODS		2007	6.5271537325E10			5.89			9028.147336332922
CAPITAL GOODS		2008	9.0216887556E10			-48.31			7290.784741628547
CAPITAL GOODS		2009	9.6803739926E10			28.73			5181.6988391883315
CAPITAL GOODS		2010	9.0763630698E10			21.22			6858.207316732714
CAPITAL GOODS		2011	8.993998717E10			-12.43			7994.033017847347
CAPITAL GOODS		2012	7.6821481295E10			17.32			8345.535848169304
CAPITAL GOODS		2013	7.3496814757E10			34.5			10836.243520534937
CAPITAL GOODS		2014	7.0525225308E10			4.34			13176.900028690183
CAPITAL GOODS		2015	7.2871030811E10			-1.8			13598.029464901396
CAPITAL GOODS		2016	7.4995759977E10			18.59			13917.422597670602
CAPITAL GOODS		2017	6.7007410673E10			34.34			18508.017847625295
CAPITAL GOODS		2018	4.814658233E10			-1.46			21173.249427226805

CONSUMER DURABLES	2004	1.0057518399E10			17.81			1985.8919711751598
CONSUMER DURABLES	2005	1.0096843252E10			-5.64			2111.870729590692
CONSUMER DURABLES	2006	1.1608111147E10			11.06			2284.4043526419873
CONSUMER DURABLES	2007	1.488891827E10			5.64			2534.170324461631
CONSUMER DURABLES	2008	1.9350179317E10			-42.77			2189.922559560052
CONSUMER DURABLES	2009	1.7702234464E10			39.05			1747.3224167731546
CONSUMER DURABLES	2010	1.4737880426E10			-18.72			2319.2097119886193
CONSUMER DURABLES	2011	1.542630438E10			-37.05			2433.7986569255886
CONSUMER DURABLES	2012	1.3154769401E10			17.86			2480.4640947508215
CONSUMER DURABLES	2013	1.2578799552E10			-42.15			3853.236200391714
CONSUMER DURABLES	2014	1.3010046184E10			-17.41			5654.131930928618
CONSUMER DURABLES	2015	1.2718976138E10			-11.99			4582.811739290636
CONSUMER DURABLES	2016	1.4884253792E10			16.04			4483.03022801063
CONSUMER DURABLES	2017	1.4383518634E10			10.39			5090.832560657743
CONSUMER DURABLES	2018	1.1324047804E10			7.59			5460.0687498786465


Time taken for the last QUERY: 8.282 seconds, Fetched: 336 row(s)




